row_number,lastname,player_id,ranking_date,frac
1,Kafelnikov,102338,1999-05-10,1.79
2,Kafelnikov,102338,1999-05-03,1.79
3,Kafelnikov,102338,1999-05-17,1.79
4,Kafelnikov,102338,1999-05-24,1.80
5,Kafelnikov,102338,1999-06-07,1.81
6,Kafelnikov,102338,1999-05-31,1.82
7,Sampras,101948,1999-03-08,1.82
8,Sampras,101948,1999-03-01,1.82
9,Moya,102845,1999-03-15,1.84
10,Sampras,101948,1999-04-26,1.86
11,Sampras,101948,1999-04-05,1.86
12,Sampras,101948,1999-03-29,1.86
13,Sampras,101948,1999-03-22,1.87
14,Sampras,101948,1999-04-12,1.87
15,Sampras,101948,1999-04-19,1.87
16,Sampras,101948,1999-06-21,1.88
17,Sampras,101948,1999-06-14,1.89
18,Sampras,101948,1998-04-27,1.89
19,Rios,102701,1998-03-30,1.91
20,Rios,102701,1998-04-20,1.91
21,Rios,102701,1998-04-06,1.91
22,Rios,102701,1998-04-13,1.91
23,Sampras,101948,1998-08-31,1.91
24,Sampras,101948,1999-02-15,1.93
25,Sampras,101948,1999-06-28,1.93
26,Sampras,101948,1998-02-23,1.94
27,Sampras,101948,1999-02-22,1.94
28,Rafter,102158,1999-07-26,1.94
29,Sampras,101948,1998-02-16,1.94
30,Sampras,101948,1998-08-24,1.94
31,Sampras,101948,1998-11-23,1.94
32,Agassi,101736,1999-07-19,1.95
33,Sampras,101948,1998-03-02,1.95
34,Agassi,101736,1999-07-05,1.95
35,Sampras,101948,1999-08-09,1.95
36,Sampras,101948,1998-11-16,1.95
37,Sampras,101948,1998-03-09,1.95
38,Agassi,101736,1999-07-12,1.95
39,Sampras,101948,1998-06-15,1.96
40,Sampras,101948,1998-06-22,1.97
41,Sampras,101948,1998-06-08,1.97
42,Sampras,101948,1998-05-04,1.97
43,Sampras,101948,1998-03-16,1.97
44,Sampras,101948,1998-05-11,1.98
45,Sampras,101948,1998-07-06,1.98
46,Rios,102701,1998-08-10,1.98
47,Sampras,101948,1999-02-01,1.99
48,Rios,102701,1998-08-17,1.99
49,Sampras,101948,1998-02-09,1.99
50,Sampras,101948,1998-07-13,1.99
51,Sampras,101948,1998-05-25,2.00
52,Sampras,101948,1999-08-02,2.00
53,Sampras,101948,1998-05-18,2.00
54,Sampras,101948,1998-02-02,2.01
55,Sampras,101948,1998-09-07,2.02
56,Sampras,101948,1998-07-20,2.03
57,Sampras,101948,1998-11-30,2.04
58,Sampras,101948,1999-01-04,2.04
59,Sampras,101948,1998-08-03,2.04
60,Sampras,101948,1998-06-29,2.04
61,Sampras,101948,1999-02-08,2.05
62,Sampras,101948,1999-01-11,2.05
63,Sampras,101948,1998-07-27,2.05
64,Sampras,101948,1998-12-07,2.05
65,Sampras,101948,1998-12-14,2.05
66,Sampras,101948,1999-08-16,2.06
67,Sampras,101948,1999-09-06,2.06
68,Sampras,101948,1999-01-18,2.06
69,Sampras,101948,1998-06-01,2.07
70,Sampras,101948,1998-03-23,2.07
71,Sampras,101948,1999-08-30,2.08
72,Sampras,101948,1999-08-23,2.08
73,Sampras,101948,1997-11-10,2.11
74,Sampras,101948,1998-09-21,2.11
75,Sampras,101948,1998-09-28,2.12
76,Sampras,101948,1998-12-28,2.12
77,Sampras,101948,1998-11-02,2.12
78,Sampras,101948,1998-09-14,2.13
