 ranking_date |    lastname     | pos |         max_age          
--------------+-----------------+-----+--------------------------
 2003-09-01   | Agassi          |   1 | 33 years 4 mons 2 days
 2003-09-01   | Agassi          |   1 | 33 years 4 mons 2 days
 2003-08-25   | Agassi          |   1 | 33 years 3 mons 26 days
 2003-08-25   | Agassi          |   1 | 33 years 3 mons 26 days
 2003-08-18   | Agassi          |   1 | 33 years 3 mons 19 days
 2003-08-18   | Agassi          |   1 | 33 years 3 mons 19 days
 2003-08-11   | Agassi          |   1 | 33 years 3 mons 12 days
 2003-08-11   | Agassi          |   1 | 33 years 3 mons 12 days
 2003-08-04   | Agassi          |   1 | 33 years 3 mons 5 days
 2003-08-04   | Agassi          |   1 | 33 years 3 mons 5 days
 2003-07-28   | Agassi          |   1 | 33 years 2 mons 29 days
 2003-07-28   | Agassi          |   1 | 33 years 2 mons 29 days
 2003-07-21   | Agassi          |   1 | 33 years 2 mons 22 days
 2003-07-21   | Agassi          |   1 | 33 years 2 mons 22 days
 2003-07-14   | Agassi          |   1 | 33 years 2 mons 15 days
 2003-07-14   | Agassi          |   1 | 33 years 2 mons 15 days
 2003-07-07   | Agassi          |   1 | 33 years 2 mons 8 days
 2003-07-07   | Agassi          |   1 | 33 years 2 mons 8 days
 2003-06-30   | Agassi          |   1 | 33 years 2 mons 1 day
 2003-06-30   | Agassi          |   1 | 33 years 2 mons 1 day
 2003-06-23   | Agassi          |   1 | 33 years 1 mon 24 days
 2003-06-23   | Agassi          |   1 | 33 years 1 mon 24 days
 2003-06-16   | Agassi          |   1 | 33 years 1 mon 17 days
 2003-06-16   | Agassi          |   1 | 33 years 1 mon 17 days
 2003-05-05   | Agassi          |   1 | 33 years 6 days
 2003-05-05   | Agassi          |   1 | 33 years 6 days
 2003-04-28   | Agassi          |   1 | 32 years 11 mons 29 days
 2003-04-28   | Agassi          |   1 | 32 years 11 mons 29 days
 2003-06-09   | Agassi          |   2 | 33 years 1 mon 10 days
 2003-06-09   | Agassi          |   2 | 33 years 1 mon 10 days
 2003-06-02   | Agassi          |   2 | 33 years 1 mon 3 days
 2003-06-02   | Agassi          |   2 | 33 years 1 mon 3 days
 2003-05-26   | Agassi          |   2 | 33 years 27 days
 2003-05-26   | Agassi          |   2 | 33 years 27 days
 2003-05-19   | Agassi          |   2 | 33 years 20 days
 2003-05-19   | Agassi          |   2 | 33 years 20 days
 2003-05-12   | Agassi          |   2 | 33 years 13 days
 2003-05-12   | Agassi          |   2 | 33 years 13 days
 2003-04-21   | Agassi          |   2 | 32 years 11 mons 22 days
 2003-04-21   | Agassi          |   2 | 32 years 11 mons 22 days
 2003-04-14   | Agassi          |   2 | 32 years 11 mons 15 days
 2003-04-14   | Agassi          |   2 | 32 years 11 mons 15 days
 2003-04-07   | Agassi          |   2 | 32 years 11 mons 8 days
 2003-04-07   | Agassi          |   2 | 32 years 11 mons 8 days
 2003-03-31   | Agassi          |   2 | 32 years 11 mons 2 days
 2003-03-31   | Agassi          |   2 | 32 years 11 mons 2 days
 2003-03-24   | Agassi          |   2 | 32 years 10 mons 25 days
 2003-03-24   | Agassi          |   2 | 32 years 10 mons 25 days
 2003-03-17   | Agassi          |   2 | 32 years 10 mons 18 days
 2003-03-17   | Agassi          |   2 | 32 years 10 mons 18 days
 2003-03-10   | Agassi          |   2 | 32 years 10 mons 11 days
 2003-03-10   | Agassi          |   2 | 32 years 10 mons 11 days
 2003-03-03   | Agassi          |   2 | 32 years 10 mons 4 days
 2003-03-03   | Agassi          |   2 | 32 years 10 mons 4 days
 2003-02-24   | Agassi          |   2 | 32 years 9 mons 25 days
 2003-02-24   | Agassi          |   2 | 32 years 9 mons 25 days
 2003-02-17   | Agassi          |   2 | 32 years 9 mons 18 days
 2003-02-17   | Agassi          |   2 | 32 years 9 mons 18 days
 2003-02-10   | Agassi          |   2 | 32 years 9 mons 11 days
 2003-02-10   | Agassi          |   2 | 32 years 9 mons 11 days
 2003-02-03   | Agassi          |   2 | 32 years 9 mons 4 days
 2003-02-03   | Agassi          |   2 | 32 years 9 mons 4 days
 2003-01-27   | Agassi          |   2 | 32 years 8 mons 28 days
 2003-01-27   | Agassi          |   2 | 32 years 8 mons 28 days
 2003-01-20   | Agassi          |   2 | 32 years 8 mons 21 days
 2003-01-20   | Agassi          |   2 | 32 years 8 mons 21 days
 2003-01-13   | Agassi          |   2 | 32 years 8 mons 14 days
 2003-01-13   | Agassi          |   2 | 32 years 8 mons 14 days
 2003-01-06   | Agassi          |   2 | 32 years 8 mons 7 days
 2003-01-06   | Agassi          |   2 | 32 years 8 mons 7 days
 2002-12-30   | Agassi          |   2 | 32 years 8 mons 1 day
 2002-12-30   | Agassi          |   2 | 32 years 8 mons 1 day
 2002-12-23   | Agassi          |   2 | 32 years 7 mons 24 days
 2002-12-23   | Agassi          |   2 | 32 years 7 mons 24 days
 2002-12-16   | Agassi          |   2 | 32 years 7 mons 17 days
 2002-12-16   | Agassi          |   2 | 32 years 7 mons 17 days
 2002-12-09   | Agassi          |   2 | 32 years 7 mons 10 days
 2002-12-09   | Agassi          |   2 | 32 years 7 mons 10 days
 2002-12-02   | Agassi          |   2 | 32 years 7 mons 3 days
 2002-12-02   | Agassi          |   2 | 32 years 7 mons 3 days
 2002-11-25   | Agassi          |   2 | 32 years 6 mons 26 days
 2002-11-25   | Agassi          |   2 | 32 years 6 mons 26 days
 2002-11-18   | Agassi          |   2 | 32 years 6 mons 19 days
 2002-11-18   | Agassi          |   2 | 32 years 6 mons 19 days
 2002-11-11   | Agassi          |   2 | 32 years 6 mons 12 days
 2002-11-11   | Agassi          |   2 | 32 years 6 mons 12 days
 2002-11-04   | Agassi          |   2 | 32 years 6 mons 5 days
 2002-11-04   | Agassi          |   2 | 32 years 6 mons 5 days
 2002-10-28   | Agassi          |   2 | 32 years 5 mons 29 days
 2002-10-28   | Agassi          |   2 | 32 years 5 mons 29 days
 2002-10-21   | Agassi          |   2 | 32 years 5 mons 22 days
 2002-10-21   | Agassi          |   2 | 32 years 5 mons 22 days
 2002-10-14   | Agassi          |   2 | 32 years 5 mons 15 days
 2002-10-14   | Agassi          |   2 | 32 years 5 mons 15 days
 1975-06-26   | Rosewall        |   2 | 40 years 7 mons 24 days
 1975-06-26   | Rosewall        |   2 | 40 years 7 mons 24 days
 1975-06-02   | Rosewall        |   2 | 40 years 7 mons
 1975-06-02   | Rosewall        |   2 | 40 years 7 mons
 1975-04-30   | Rosewall        |   2 | 40 years 5 mons 28 days
 1975-04-30   | Rosewall        |   2 | 40 years 5 mons 28 days
 2002-10-07   | Agassi          |   3 | 32 years 5 mons 8 days
 2002-10-07   | Agassi          |   3 | 32 years 5 mons 8 days
 2002-09-23   | Agassi          |   3 | 32 years 4 mons 24 days
 2002-09-23   | Agassi          |   3 | 32 years 4 mons 24 days
 2004-01-26   | Agassi          |   4 | 33 years 8 mons 27 days
 2004-01-26   | Agassi          |   4 | 33 years 8 mons 27 days
 2004-01-19   | Agassi          |   4 | 33 years 8 mons 20 days
 2004-01-19   | Agassi          |   4 | 33 years 8 mons 20 days
 2004-01-12   | Agassi          |   4 | 33 years 8 mons 13 days
 2004-01-12   | Agassi          |   4 | 33 years 8 mons 13 days
 2004-01-05   | Agassi          |   4 | 33 years 8 mons 6 days
 2004-01-05   | Agassi          |   4 | 33 years 8 mons 6 days
 2003-12-29   | Agassi          |   4 | 33 years 8 mons
 2003-12-29   | Agassi          |   4 | 33 years 8 mons
 2003-12-22   | Agassi          |   4 | 33 years 7 mons 23 days
 2003-12-22   | Agassi          |   4 | 33 years 7 mons 23 days
 2003-12-15   | Agassi          |   4 | 33 years 7 mons 16 days
 2003-12-15   | Agassi          |   4 | 33 years 7 mons 16 days
 2003-12-08   | Agassi          |   4 | 33 years 7 mons 9 days
 2003-12-08   | Agassi          |   4 | 33 years 7 mons 9 days
 2003-12-01   | Agassi          |   4 | 33 years 7 mons 2 days
 2003-12-01   | Agassi          |   4 | 33 years 7 mons 2 days
 2003-11-24   | Agassi          |   4 | 33 years 6 mons 25 days
 2003-11-24   | Agassi          |   4 | 33 years 6 mons 25 days
 2003-11-17   | Agassi          |   4 | 33 years 6 mons 18 days
 2003-11-17   | Agassi          |   4 | 33 years 6 mons 18 days
 2003-10-20   | Agassi          |   4 | 33 years 5 mons 21 days
 2003-10-20   | Agassi          |   4 | 33 years 5 mons 21 days
 2003-10-13   | Agassi          |   4 | 33 years 5 mons 14 days
 2003-10-13   | Agassi          |   4 | 33 years 5 mons 14 days
 2003-10-06   | Agassi          |   4 | 33 years 5 mons 7 days
 2003-10-06   | Agassi          |   4 | 33 years 5 mons 7 days
 2003-09-29   | Agassi          |   4 | 33 years 5 mons
 2003-09-29   | Agassi          |   4 | 33 years 5 mons
 2003-09-22   | Agassi          |   4 | 33 years 4 mons 23 days
 2003-09-22   | Agassi          |   4 | 33 years 4 mons 23 days
 2003-09-15   | Agassi          |   4 | 33 years 4 mons 16 days
 2003-09-15   | Agassi          |   4 | 33 years 4 mons 16 days
 2003-09-08   | Agassi          |   4 | 33 years 4 mons 9 days
 2003-09-08   | Agassi          |   4 | 33 years 4 mons 9 days
 2005-11-14   | Agassi          |   5 | 35 years 6 mons 15 days
 2005-11-14   | Agassi          |   5 | 35 years 6 mons 15 days
 2005-11-07   | Agassi          |   5 | 35 years 6 mons 8 days
 2005-11-07   | Agassi          |   5 | 35 years 6 mons 8 days
 2004-04-19   | Agassi          |   5 | 33 years 11 mons 20 days
 2004-04-19   | Agassi          |   5 | 33 years 11 mons 20 days
 2004-04-12   | Agassi          |   5 | 33 years 11 mons 13 days
 2004-04-12   | Agassi          |   5 | 33 years 11 mons 13 days
 2004-04-05   | Agassi          |   5 | 33 years 11 mons 6 days
 2004-04-05   | Agassi          |   5 | 33 years 11 mons 6 days
 2004-03-29   | Agassi          |   5 | 33 years 11 mons
 2004-03-29   | Agassi          |   5 | 33 years 11 mons
 2004-03-22   | Agassi          |   5 | 33 years 10 mons 23 days
 2004-03-22   | Agassi          |   5 | 33 years 10 mons 23 days
 2004-03-15   | Agassi          |   5 | 33 years 10 mons 16 days
 2004-03-15   | Agassi          |   5 | 33 years 10 mons 16 days
 2004-03-08   | Agassi          |   5 | 33 years 10 mons 9 days
